codneg,iq,tipo,adm,urendrs,urendpercent,urenddatapag,urenddatabase,rendmed12rs,rendmed12percent,ppc,cvp,nnegmed,ifix,ncotistas,patrimonio
RBRD11,Geral,Tijolo: Varejo,Votorantim Asset Management,0.56,0.65,2020-03-13,2020-02-28,0.75,0.8700000000000001,79.57,1.09,2614,0.19,6555,147355169.63
RBRF11,Geral,Papel: Fundo de Fundos,BTG Pactual,0.7,0.62,2020-03-17,2020-03-10,0.76,0.6799999999999999,105.85,1.06,68601,1.27,38292,556630923.7
RBRM11,Investidor Qualificado,Tijolo: Desenvolvimento,BTG Pactual,3397.9100000000003,NA,2020-02-18,2020-02-11,302.65000000000003,NA,160662.1,0,0,0,52,86996919.58
RBRP11,Investidor Qualificado,Tijolo: Escritórios,BRL Trust DTVM,0.5,0.56,2020-03-13,2020-03-06,0.39,0.43000000000000005,85.13,1.04,21909,0,11720,728086681.8199999
RBRR11,Geral,Papel: CRIs,BTG Pactual,0.6,0.59,2020-03-17,2020-03-10,0.58,0.58,98.38,1.03,44047,0.91,52133,682980800.69
RBRY11,Investidor Qualificado,Papel: CRIs,BTG Pactual,0.7,0.6799999999999999,2020-03-17,2020-03-10,0.71,0.7,105.66999999999999,0.97,251,0,352,207605039.65
RBTS11,Investidor Qualificado,Tijolo: Desenvolvimento,Oliveira Trust,0,NA,NA,NA,0,NA,975.2800000000001,0,0,0,56,55127852.28
RBVA11,Geral,Tijolo: Bancário,Rio Bravo Investimentos,0.9,0.62,2020-03-13,2020-02-28,0.98,0.6699999999999999,125.11999999999999,1.1700000000000002,6080,1.08,12339,715851303.9599999
RBVO11,Geral,Papel: CRIs,Rio Bravo Investimentos,0.11,0.44,2020-03-09,2020-02-28,0.2,0.7799999999999999,30.37,0.8300000000000001,1107,0.02,1489,15667387.55
RCFA11,Geral,Tijolo: Desenvolvimento,Fram Capital DTVM SA,0,NA,NA,NA,0,NA,1.62,0,3837,0,1353,18882767.66
